year,make,model,trim,body,transmission,state,condition,odometer,mmr,sellingprice
2014,Chevrolet,Captiva Sport,LT Fleet,SUV,automatic,fl,4.0,23955.0,15800.0,16800.0
2013,Chevrolet,Impala,LS Fleet,Sedan,automatic,nv,41.0,51495.0,9125.0,9200.0
2014,Chrysler,Town and Country,Touring,Minivan,automatic,fl,4.0,13956.0,20100.0,20000.0
2014,Chevrolet,Cruze,2LT,Sedan,automatic,fl,4.0,27541.0,13250.0,13500.0
2013,Dodge,Avenger,SE,Sedan,automatic,ga,35.0,52825.0,9550.0,9400.0
2014,Toyota,Camry,SE,Sedan,,ga,44.0,36155.0,15100.0,15000.0
2005,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,pa,33.0,102205.0,14550.0,16100.0
2014,Honda,Civic,LX,Coupe,automatic,fl,37.0,14934.0,14550.0,13500.0
2003,Volvo,S60,2.5T,Sedan,automatic,il,22.0,57998.0,3425.0,2400.0
1998,Buick,Century,Custom,Sedan,automatic,ca,28.0,128295.0,975.0,450.0
2011,Ford,Taurus,SE,Sedan,automatic,va,19.0,80633.0,10150.0,10700.0
2012,Ford,Edge,SE,SUV,automatic,mo,43.0,35350.0,15900.0,17200.0
2015,BMW,3 Series,328i,sedan,automatic,oh,47.0,7910.0,35000.0,35250.0
2012,Infiniti,G Sedan,G25,G Sedan,automatic,fl,44.0,22040.0,19600.0,19400.0
2013,Nissan,Sentra,FE+ SV,Sedan,,pa,37.0,30680.0,11150.0,10400.0
2013,Ford,Focus,SE,Sedan,automatic,ga,43.0,9163.0,11900.0,11600.0
2012,Toyota,Camry,XLE,Sedan,automatic,fl,47.0,28151.0,17600.0,18500.0
2004,Chevrolet,Corvette,Base,Convertible,manual,fl,32.0,112405.0,12000.0,12500.0
2013,Toyota,Sienna,SE 8-Passenger,Minivan,automatic,pa,41.0,31458.0,26200.0,24700.0
2007,Volvo,XC90,3.2,SUV,automatic,va,19.0,128732.0,5825.0,3700.0
2014,Mercedes-Benz,E-Class,E350,Coupe,,tn,42.0,12171.0,41300.0,42000.0
2006,Ford,Explorer,XLT,SUV,automatic,tx,29.0,86781.0,6725.0,6200.0
2009,Honda,Accord,EX-L V-6,sedan,automatic,nc,35.0,93403.0,9975.0,11100.0
2013,Honda,Accord,Sport,Sedan,automatic,nj,36.0,10968.0,17750.0,17700.0
2014,Ram,1500,Tradesman,quad cab,automatic,fl,43.0,14287.0,23100.0,25000.0
2015,Ford,Taurus,Limited,Sedan,automatic,wi,1.0,7945.0,23000.0,7500.0
2005,Chrysler,300,C,Sedan,automatic,va,28.0,143217.0,4575.0,5800.0
2006,Chevrolet,Impala,SS,Sedan,automatic,tx,23.0,102739.0,5700.0,5500.0
2014,Nissan,Maxima,3.5 S,Sedan,automatic,il,36.0,34304.0,16000.0,15900.0
2002,Kia,Sportage,Base,SUV,manual,fl,,121573.0,1050.0,750.0
2013,Volvo,S60,T5,Sedan,automatic,nj,45.0,32398.0,19550.0,19000.0
2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,fl,35.0,28136.0,19400.0,20750.0
2015,Mazda,Mazda6,i Sport,sedan,automatic,nv,49.0,27598.0,15700.0,16000.0
2012,Toyota,Corolla,LE,Sedan,automatic,oh,48.0,31068.0,11100.0,12800.0
2011,Nissan,Sentra,2.0 S,Sedan,automatic,nj,29.0,38109.0,9300.0,7600.0
2006,Ford,F-150,XLT,SuperCrew,automatic,oh,41.0,91655.0,11650.0,13800.0
2014,Chevrolet,Cruze,LS,Sedan,automatic,tn,44.0,16256.0,11200.0,11300.0
2004,Nissan,Titan,SE,King Cab,automatic,ca,22.0,138222.0,5400.0,5200.0
2013,Chevrolet,Black Diamond Avalanche,LT,crew cab,,pa,47.0,21316.0,35500.0,36500.0
2012,Hyundai,Tucson,Limited,SUV,,ga,46.0,35012.0,17150.0,18500.0
2011,Toyota,Corolla,LE,sedan,automatic,ms,37.0,33826.0,9725.0,11700.0
2011,,,,,,pa,35.0,40228.0,33900.0,32500.0
2012,Hyundai,Sonata Hybrid,Base,Sedan,automatic,ga,33.0,11195.0,15100.0,15100.0
2002,Honda,Accord,EX V-6,coupe,automatic,nc,26.0,156740.0,1500.0,1700.0
2007,,,,,,va,32.0,95777.0,4950.0,3700.0
2006,Chevrolet,Silverado 1500,Work Truck,extended cab,automatic,tx,32.0,215144.0,3575.0,5400.0
2012,Hyundai,Accent,GLS,Sedan,automatic,ca,23.0,56763.0,7750.0,8000.0
2012,Chrysler,Town and Country,Touring,minivan,,pa,3.0,21176.0,16750.0,13900.0
2009,Hyundai,Sonata,Limited,Sedan,automatic,md,27.0,49033.0,8750.0,7600.0
2008,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,nj,33.0,65252.0,24100.0,23000.0
2008,Lincoln,MKZ,Base,sedan,,fl,34.0,148867.0,3325.0,4100.0
2014,Toyota,Camry,SE,sedan,automatic,tx,43.0,32942.0,15050.0,15100.0
2012,Nissan,Maxima,3.5 S,Sedan,automatic,ny,19.0,46132.0,16200.0,10200.0
2011,Subaru,Forester,2.5X,SUV,manual,nj,42.0,64247.0,12700.0,13800.0
2008,Porsche,Boxster,Base,Convertible,manual,nc,48.0,20668.0,26200.0,26000.0
2009,GMC,Sierra 1500,Work Truck,Crew Cab,automatic,tn,42.0,96642.0,20400.0,18100.0
2014,MINI,Cooper Countryman,S,Wagon,automatic,oh,5.0,5479.0,22800.0,25250.0
2004,Chevrolet,Suburban,1500 LS,SUV,automatic,ca,,158645.0,5850.0,4300.0
2003,Nissan,Altima,2.5 SL,Sedan,automatic,ca,,82364.0,2600.0,2500.0
2005,Audi,A4,2.0T Avant quattro,Wagon,manual,ca,27.0,156881.0,3825.0,3925.0
2009,Ford,F-150,King Ranch,SuperCrew,automatic,oh,45.0,65537.0,24100.0,23250.0
2012,MINI,Cooper,Base,Hatchback,manual,ca,41.0,20951.0,12700.0,12250.0
2013,Nissan,Maxima,3.5 S,sedan,automatic,fl,28.0,68134.0,12400.0,12900.0
2012,Toyota,Tacoma,V6,Double Cab,automatic,tn,42.0,41491.0,25500.0,25800.0
2014,Toyota,Camry,LE,Sedan,automatic,nc,45.0,24217.0,15050.0,14700.0
2014,GMC,Savana Cargo,2500,Van,,nj,21.0,10222.0,19900.0,19500.0
2002,Volkswagen,New Beetle,GLS,Hatchback,automatic,fl,21.0,80413.0,2225.0,1500.0
2013,Buick,Verano,Leather Group,Sedan,automatic,fl,3.0,54618.0,11500.0,11600.0
2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,tx,44.0,10771.0,10850.0,11400.0
2010,Pontiac,G6,Fleet,Sedan,automatic,nc,26.0,98658.0,6100.0,6800.0
2012,Nissan,Altima,2.5 S,Sedan,automatic,ms,25.0,41356.0,11450.0,9600.0
2013,Chevrolet,Express Cargo,2500,Van,automatic,ga,44.0,59490.0,17400.0,16700.0
2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,ms,21.0,77842.0,8125.0,7000.0
2014,Kia,Optima,LX,Sedan,,ga,44.0,11844.0,15300.0,15300.0
2013,Hyundai,Sonata,GLS,Sedan,automatic,fl,42.0,32417.0,12750.0,13300.0
2011,Nissan,Altima,2.5 S,Sedan,,nc,29.0,115353.0,7200.0,8000.0
2012,BMW,X3,xDrive28i,SUV,,nj,44.0,18560.0,29000.0,31000.0
2012,Ford,Fusion,SE,Sedan,automatic,mn,38.0,29535.0,11800.0,11400.0
2009,hyundai,elantra,gl,,,on,,75771.0,4325.0,5100.0
2011,Nissan,Rogue,SV,SUV,automatic,nj,31.0,32038.0,14150.0,16500.0
2009,Jaguar,XF,Supercharged,Sedan,automatic,ca,32.0,80058.0,16250.0,15750.0
2014,Honda,CR-V,EX-L,SUV,automatic,ca,47.0,2252.0,24500.0,26250.0
2010,Mercedes-Benz,GL-Class,GL350 BlueTEC,SUV,automatic,il,21.0,51083.0,28600.0,27600.0
2014,Nissan,Sentra,SV,Sedan,,fl,41.0,30874.0,12700.0,12700.0
2004,Suzuki,Aerio,SX,Wagon,,fl,19.0,136756.0,825.0,450.0
2008,Jeep,Grand Cherokee,Laredo,SUV,automatic,ga,35.0,98354.0,8650.0,8100.0
2013,Hyundai,Sonata,GLS,Sedan,automatic,sc,5.0,7529.0,14350.0,14800.0
2006,Volkswagen,Passat,2.0T,Sedan,automatic,va,26.0,168898.0,2300.0,2600.0
2013,Kia,Optima,LX,Sedan,automatic,mi,37.0,51313.0,12300.0,11000.0
2007,Honda,Accord,Hybrid,Sedan,automatic,oh,39.0,184483.0,3075.0,3500.0
2007,Chevrolet,Malibu,LS,Sedan,automatic,ga,22.0,32457.0,5900.0,4500.0
2012,Ford,Mustang,V6,Coupe,manual,ca,44.0,33958.0,13700.0,13900.0
2012,Toyota,Camry,SE,sedan,automatic,oh,47.0,27947.0,14250.0,14600.0
2006,Mercedes-Benz,C-Class,C230 Sport,sedan,automatic,nv,31.0,94333.0,5300.0,7600.0
2009,Land Rover,Range Rover Sport,HSE,SUV,automatic,ca,37.0,88058.0,19950.0,22500.0
2015,Kia,Sedona,LX,Minivan,automatic,tx,48.0,10037.0,22000.0,20800.0
2001,Nissan,Maxima,GLE,Sedan,automatic,ut,19.0,175554.0,1075.0,1000.0
2014,Hyundai,Elantra,SE,Sedan,automatic,tn,44.0,29037.0,12650.0,12900.0
2010,Kia,Forte,LX,Sedan,,qc,44.0,103001.0,4150.0,6100.0
2006,Chrysler,300,Touring,Sedan,automatic,tx,23.0,101865.0,5325.0,5500.0
2013,Ford,F-150,STX,SuperCab,automatic,co,43.0,30173.0,21700.0,21200.0
2011,Volkswagen,Routan,SE,Minivan,,pa,39.0,60557.0,12200.0,13000.0
2014,Dodge,Durango,Limited,SUV,,va,5.0,15598.0,30100.0,30800.0
2012,Honda,Crosstour,EX,Hatchback,automatic,ca,19.0,35424.0,15950.0,14300.0
2014,Chrysler,Town and Country,Touring,Minivan,automatic,ne,36.0,27103.0,18550.0,18800.0
2011,Ford,Escape,Limited,SUV,automatic,mo,32.0,41156.0,13900.0,15200.0
2005,BMW,5 Series,545i,Sedan,automatic,nj,1.0,117519.0,6175.0,2400.0
1999,Honda,Civic,EX,Sedan,automatic,va,23.0,157239.0,1625.0,2000.0
2014,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,wa,41.0,26707.0,22400.0,23100.0
1995,Toyota,Camry,LE,Sedan,automatic,ca,1.0,241105.0,800.0,500.0
2011,Hyundai,Sonata,SE,Sedan,automatic,tx,42.0,47830.0,11400.0,11800.0
2008,Chevrolet,Malibu Classic,LS Fleet,Sedan,automatic,ca,38.0,92218.0,4350.0,3600.0
2003,,,,,automatic,ca,34.0,111188.0,5450.0,6600.0
2010,Lincoln,MKX,Base,SUV,automatic,tx,41.0,105248.0,12350.0,10600.0
2014,Dodge,Journey,SE,SUV,automatic,fl,4.0,23169.0,14400.0,14000.0
2014,Subaru,Forester,2.5i Premium PZEV,SUV,manual,fl,38.0,22202.0,21400.0,19500.0
2001,Oldsmobile,Aurora,4,Sedan,automatic,ut,19.0,182476.0,900.0,350.0
2010,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,fl,41.0,76994.0,16300.0,17800.0
2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,ca,3.0,40641.0,11150.0,12000.0
2008,Scion,tC,Base,hatchback,automatic,ca,29.0,82553.0,6700.0,8300.0
2010,Chevrolet,Cobalt,LS,Sedan,automatic,nj,35.0,63919.0,5925.0,5900.0
2013,Ram,1500,SLT,Quad Cab,,az,2.0,38843.0,21400.0,13400.0
2012,Chrysler,Town and Country,Touring,minivan,automatic,nj,37.0,26936.0,16500.0,15900.0
1999,BMW,3 Series,328i,sedan,automatic,va,2.0,131849.0,1900.0,1800.0
2004,Infiniti,G35,Base,Sedan,automatic,sc,27.0,138240.0,4375.0,4500.0
2008,Toyota,FJ Cruiser,Base,suv,automatic,wa,44.0,118834.0,14800.0,13600.0
2013,Chevrolet,Captiva Sport,LT Fleet,suv,automatic,fl,4.0,52819.0,11750.0,11900.0
2014,Ford,E-Series Van,E-150,E-Series Van,automatic,fl,46.0,4501.0,20600.0,19500.0
2014,Ford,Focus,SE,Hatchback,automatic,fl,47.0,16978.0,12550.0,13400.0
2012,Ford,Edge,SE,SUV,automatic,fl,49.0,39138.0,15200.0,16200.0
2009,Ford,Focus,SE,Sedan,automatic,tx,21.0,120005.0,4475.0,4300.0
2004,Acura,RL,3.5,Sedan,automatic,ca,19.0,71904.0,6275.0,5500.0
2013,Ford,Explorer,XLT,SUV,automatic,fl,37.0,62973.0,22400.0,21900.0
2004,cadillac,srx,4x2 suv,,,mo,,153297.0,2425.0,3100.0
2007,Ford,F-150,King Ranch,SuperCrew,automatic,fl,19.0,182398.0,10100.0,6900.0
2013,Chevrolet,Camaro,LS,Coupe,manual,fl,43.0,19523.0,15900.0,17000.0
2014,Ford,Focus,SE,Hatchback,automatic,ga,49.0,30077.0,12200.0,12500.0
2014,GMC,Terrain,SLE-1,SUV,automatic,mi,47.0,14443.0,21900.0,21400.0
2013,Kia,Sorento,LX,SUV,automatic,ca,44.0,48050.0,15700.0,12750.0
2014,Infiniti,Q50,Hybrid Sport,Sedan,automatic,ca,48.0,1466.0,36000.0,37000.0
2012,Kia,Forte,EX,Sedan,automatic,tn,32.0,68478.0,7650.0,7900.0
2011,Ford,Fusion,S,sedan,automatic,or,38.0,41009.0,9825.0,9400.0
2008,Kia,Sorento,LX,SUV,automatic,ca,31.0,102127.0,6150.0,6700.0
2013,Lexus,ES 350,Base,Sedan,,pa,35.0,60822.0,25100.0,22000.0
2012,Acura,TSX,Base,Sedan,,pa,39.0,13559.0,18100.0,17700.0
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,27.0,24689.0,21000.0,19000.0
2008,Ford,Edge,SEL,SUV,automatic,nj,34.0,46331.0,12300.0,12500.0
2013,Nissan,Sentra,SR,Sedan,automatic,ca,3.0,14015.0,12550.0,12750.0
2014,Toyota,Camry,LE,Sedan,automatic,md,44.0,33061.0,13950.0,13800.0
2013,Lexus,RX 350,Base,SUV,automatic,fl,47.0,20628.0,32300.0,31600.0
2004,Honda,Civic,EX,Coupe,automatic,va,33.0,140550.0,2775.0,4500.0
2014,Ford,Expedition,EL King Ranch,SUV,automatic,mo,46.0,25575.0,36200.0,34300.0
2013,Toyota,Camry,SE,sedan,automatic,fl,41.0,18307.0,14650.0,15800.0
2014,Hyundai,Elantra,SE,Sedan,automatic,ca,45.0,11095.0,13500.0,13200.0
2014,Honda,Civic,LX,Sedan,automatic,ga,43.0,14550.0,14300.0,15100.0
2014,Toyota,Camry,LE,sedan,automatic,nv,44.0,24516.0,14550.0,14200.0
2012,Ford,Fusion,SEL,Sedan,automatic,mi,37.0,43157.0,12550.0,12600.0
2006,Kia,Optima,EX,sedan,automatic,la,19.0,134210.0,2250.0,1400.0
2011,Chevrolet,Avalanche,LTZ,Crew Cab,automatic,ga,,49026.0,29700.0,28600.0
2005,Chrysler,PT Cruiser,Touring,Convertible,automatic,ca,19.0,112773.0,2625.0,1900.0
2007,GMC,Yukon,SLE,SUV,automatic,ga,22.0,163303.0,10650.0,9400.0
2008,Kia,Sorento,LX,SUV,,fl,3.0,118836.0,4200.0,3000.0
2011,Ford,Explorer,Limited,SUV,automatic,fl,39.0,36765.0,24100.0,23000.0
2014,Honda,Civic,LX,Sedan,automatic,il,24.0,8025.0,15300.0,13900.0
2005,dodge,caravan,v6 se,,automatic,nv,,115421.0,1750.0,2200.0
2001,Chevrolet,Suburban,1500,SUV,automatic,tx,21.0,146404.0,2800.0,2100.0
2011,Jaguar,XF,Base,Sedan,automatic,ca,35.0,38814.0,24300.0,26000.0
2009,Chevrolet,Aveo,LS,Sedan,automatic,ca,43.0,98428.0,3325.0,4400.0
2014,Dodge,Charger,R/T,Sedan,automatic,va,46.0,18707.0,25700.0,25600.0
2013,Dodge,Dart,SXT,Sedan,automatic,ga,43.0,36856.0,10850.0,11800.0
2010,Audi,A6,3.0T Premium quattro,sedan,automatic,ma,33.0,126856.0,14100.0,12600.0
2006,Ford,F-150,FX4,SuperCrew,automatic,va,3.0,139860.0,10750.0,8800.0
2005,,,,,automatic,md,33.0,57836.0,5375.0,5300.0
2011,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,ga,21.0,68103.0,14450.0,17200.0
2007,Audi,A4,2.0T,Sedan,automatic,ca,19.0,125304.0,4800.0,3600.0
2013,Volkswagen,Jetta,SEL PZEV,Sedan,automatic,ga,37.0,21939.0,16000.0,15200.0
1997,Toyota,Camry,CE,Sedan,automatic,fl,19.0,194035.0,1325.0,1400.0
2013,Ford,Mustang,GT,Coupe,manual,fl,45.0,19711.0,23000.0,35700.0
2006,Chevrolet,Silverado 2500HD,LS,Extended Cab,automatic,wi,19.0,245420.0,2650.0,3400.0
2015,Nissan,Versa,1.6 SL,Sedan,automatic,co,45.0,17697.0,10850.0,10900.0
2003,Honda,CR-V,EX,suv,automatic,ca,27.0,104073.0,4800.0,6600.0
2012,Dodge,Avenger,SE,sedan,automatic,ms,35.0,66497.0,7725.0,8600.0
2001,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,ca,26.0,278362.0,1675.0,1800.0
2013,Honda,Pilot,EX-L,SUV,automatic,fl,48.0,23785.0,26300.0,26200.0
2014,Ford,Mustang,V6,Convertible,automatic,fl,43.0,32977.0,18850.0,19000.0
2006,Chrysler,PT Cruiser,Base,Wagon,automatic,nc,19.0,79073.0,2925.0,2000.0
2012,Nissan,Sentra,2.0 SR,Sedan,automatic,nj,44.0,37323.0,10450.0,11700.0
2010,Chevrolet,Equinox,LT1,SUV,automatic,tx,33.0,105585.0,8900.0,8200.0
2013,Nissan,Versa,1.6 S Plus,Sedan,manual,ca,35.0,33175.0,9200.0,7250.0
2013,Ford,Explorer,Base,SUV,automatic,tn,44.0,23441.0,20200.0,21000.0
2011,Ford,Ranger,XL,Regular Cab,automatic,wi,3.0,205243.0,3625.0,1900.0
2006,Cadillac,Escalade,Base,SUV,automatic,tx,28.0,110665.0,10900.0,9100.0
2002,Ford,Explorer,XLT,SUV,automatic,md,19.0,225993.0,1025.0,250.0
2014,Toyota,Camry,SE,Sedan,automatic,nv,44.0,15370.0,16700.0,16500.0
2013,Volkswagen,Passat,TDI SE,Sedan,automatic,ca,33.0,30738.0,17750.0,18100.0
2010,Ford,Ranger,SPORT,SuperCab,,nc,25.0,75520.0,12850.0,10100.0
2005,Honda,Accord,LX,Sedan,automatic,fl,24.0,110340.0,4800.0,4700.0
2010,Infiniti,M35,x,Sedan,automatic,mo,37.0,99268.0,15000.0,13700.0
2006,Nissan,Maxima,3.5 SE,Sedan,,nj,27.0,98014.0,5125.0,6100.0
2008,BMW,5 Series,535i,Sedan,automatic,wa,25.0,83305.0,11850.0,12600.0
1999,Honda,Accord,EX,Coupe,automatic,oh,1.0,314150.0,575.0,800.0
2012,Ford,Fiesta,SE,Hatchback,automatic,mo,28.0,46037.0,8225.0,4300.0
2009,Hyundai,Tucson,SE,suv,,pa,38.0,27733.0,9425.0,10800.0
2014,Chevrolet,Cruze,LTZ,Sedan,automatic,il,4.0,12969.0,15150.0,15300.0
2015,Chevrolet,Silverado 2500HD,LT,crew cab,automatic,fl,4.0,7313.0,41200.0,41000.0
2014,Chrysler,300,Base,Sedan,,on,49.0,29864.0,22900.0,22700.0
2012,Ford,Edge,SEL,suv,automatic,ny,24.0,34666.0,20400.0,16200.0
2014,Lexus,LS 460,Base,Sedan,automatic,fl,46.0,6366.0,62000.0,64500.0
2011,Chevrolet,Avalanche,LT,Crew Cab,automatic,tn,37.0,62167.0,26500.0,28000.0
2014,Dodge,Charger,SE,Sedan,automatic,ca,38.0,27193.0,16350.0,20000.0
2003,Lexus,LS 430,Base,Sedan,automatic,tx,,116597.0,8375.0,8000.0
2010,Honda,Pilot,Touring,SUV,automatic,ca,33.0,69877.0,18350.0,21750.0
2013,FIAT,500,Sport,hatchback,automatic,il,44.0,14427.0,9375.0,9800.0
2011,Ford,Ranger,XL,SuperCab,automatic,ga,32.0,93239.0,7900.0,7800.0
2006,Volkswagen,Passat,2.0T,Sedan,automatic,in,3.0,98439.0,4000.0,5000.0
2014,Nissan,Altima,2.5 S,sedan,automatic,fl,43.0,33793.0,13250.0,13700.0
2012,Chevrolet,Equinox,LS,suv,automatic,mi,35.0,31544.0,15050.0,14900.0
2012,Honda,Civic,Hybrid,Sedan,automatic,ca,41.0,15752.0,14100.0,15000.0
2008,Ford,Escape,XLT,suv,,nc,35.0,78832.0,8300.0,8900.0
2012,Nissan,Rogue,S,suv,automatic,nj,4.0,27770.0,17050.0,17800.0
2013,Audi,Q5,2.0T Premium quattro,SUV,automatic,fl,45.0,24164.0,28400.0,27000.0
2012,Ford,Flex,SEL,Wagon,automatic,mo,43.0,35538.0,19700.0,19700.0
1999,Mercury,Sable,GS,Sedan,automatic,sc,19.0,253817.0,350.0,700.0
2013,Dodge,Grand Caravan,SXT,Minivan,,pa,37.0,64329.0,12000.0,12100.0
2012,Lexus,ES 350,Base,Sedan,automatic,fl,33.0,18748.0,22900.0,23500.0
2014,Nissan,Versa,1.6 SV,Sedan,automatic,pa,39.0,37740.0,10150.0,10500.0
2013,Lincoln,MKX,Base,SUV,automatic,tn,49.0,21738.0,29300.0,31800.0
2013,Nissan,Rogue,S,SUV,automatic,fl,25.0,41591.0,13850.0,11400.0
2014,Kia,Optima,LX,Sedan,automatic,co,44.0,11525.0,15700.0,15800.0
2000,Honda,Accord,EX,Sedan,automatic,ne,19.0,210449.0,1475.0,400.0
2010,Nissan,Frontier,SE,Crew Cab,automatic,il,19.0,81306.0,13300.0,10500.0
2013,Mazda,Mazda3,i SV,Sedan,manual,az,28.0,18739.0,11100.0,11400.0
2014,Volkswagen,Jetta,S,Sedan,automatic,tx,36.0,36487.0,10850.0,10500.0
2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,46.0,22658.0,22700.0,22750.0
2015,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,fl,45.0,10601.0,28600.0,31900.0
2008,Mercedes-Benz,C-Class,C350 Sport,sedan,automatic,tx,34.0,82813.0,13250.0,12600.0
1998,Volvo,S70,GLT,Sedan,automatic,ca,3.0,171170.0,700.0,300.0
2013,Ford,Escape,S,SUV,automatic,fl,44.0,136826.0,9900.0,10900.0
2007,Chrysler,Pacifica,Touring,Wagon,automatic,va,3.0,149546.0,2550.0,3500.0
2009,Chevrolet,Colorado,LT,Crew Cab,automatic,tx,42.0,62408.0,14500.0,15700.0
2006,GMC,Sierra 1500,Work Truck,Regular Cab,automatic,md,,135020.0,3925.0,3000.0
2014,Chevrolet,Sonic,LT,Sedan,,pa,4.0,12936.0,10450.0,10400.0
2012,Chevrolet,Impala,LS Fleet,Sedan,automatic,ut,45.0,26396.0,9850.0,10600.0
2012,Ram,1500,ST,Crew Cab,automatic,ca,37.0,92236.0,12350.0,13000.0
2014,Hyundai,Elantra,SE,Sedan,automatic,nv,42.0,16683.0,13300.0,13300.0
2014,MINI,Cooper Countryman,Base,Wagon,automatic,oh,48.0,5315.0,20000.0,20500.0
2010,Ford,Edge,SE,SUV,automatic,tx,41.0,55542.0,12350.0,13400.0
2007,Mercedes-Benz,R-Class,R350,Wagon,,nc,29.0,82194.0,8575.0,11200.0
2013,Chevrolet,Silverado 3500HD,LT,Crew Cab,automatic,tn,43.0,56100.0,36900.0,39600.0
2011,Nissan,Rogue,SV,SUV,automatic,va,41.0,80941.0,11850.0,12000.0
2014,Lexus,LS 460,Base,Sedan,,pa,49.0,6283.0,67000.0,61900.0
2011,Subaru,Impreza,WRX Premium,Sedan,manual,ca,36.0,39047.0,19900.0,22750.0
2013,Ford,Escape,SE,SUV,automatic,wi,42.0,84077.0,11800.0,12300.0
2004,,,,,automatic,nc,32.0,56510.0,4025.0,4400.0
2002,Ford,Explorer,XLT,suv,,fl,19.0,204629.0,1325.0,900.0
2014,Subaru,Impreza,2.0i Premium PZEV,Hatchback,automatic,wa,41.0,25796.0,17450.0,17600.0
2006,Dodge,Charger,RT,Sedan,automatic,in,38.0,106493.0,8000.0,8500.0
2012,Honda,Civic,EX,Sedan,automatic,il,44.0,27907.0,12250.0,12700.0
2015,,,,,automatic,nv,4.0,2200.0,18400.0,14500.0
2012,BMW,X5,xDrive35i Premium,SUV,automatic,wi,43.0,41537.0,34800.0,35000.0
2005,Chevrolet,Uplander,LT,Minivan,automatic,mo,25.0,93787.0,3625.0,4600.0
2008,Dodge,Caliber,SRT4,wagon,manual,ne,19.0,88863.0,6450.0,8800.0
2013,Chevrolet,Suburban,LTZ 1500,SUV,automatic,la,31.0,60144.0,31400.0,29900.0
2009,Toyota,Corolla,LE,Sedan,automatic,fl,29.0,75057.0,7250.0,7500.0
2014,Kia,Optima,LX,Sedan,automatic,oh,42.0,12007.0,15550.0,15000.0
1998,Volvo,S70,GLT,sedan,automatic,ma,34.0,46360.0,1250.0,4000.0
2002,Lexus,GS 430,Base,Sedan,automatic,ca,29.0,137803.0,4375.0,5300.0
2013,Ford,Escape,SE,SUV,automatic,mo,47.0,18699.0,18650.0,20000.0
2000,Ford,Explorer,XLT,SUV,automatic,nc,35.0,242250.0,825.0,500.0
2006,Volkswagen,Jetta,Value Edition PZEV,Sedan,automatic,wi,,78691.0,3400.0,5100.0
2014,Ford,Focus,SE,Sedan,manual,pa,46.0,6073.0,12900.0,10500.0
2012,Nissan,Leaf,SL,hatchback,automatic,co,41.0,19428.0,8400.0,9300.0
2009,Pontiac,G5,Base,Coupe,automatic,oh,25.0,107619.0,3450.0,3500.0
2012,Lexus,CT 200h,Premium,Hatchback,automatic,fl,43.0,25545.0,20800.0,21000.0
2013,Toyota,Corolla,L,Sedan,automatic,fl,45.0,9681.0,12850.0,13500.0
2012,BMW,3 Series,328i,sedan,automatic,tx,42.0,31981.0,22500.0,23600.0
2013,Kia,Forte,EX,Sedan,automatic,ca,32.0,34366.0,10300.0,8500.0
2015,Volvo,XC60,T5 Drive-E Premier,SUV,automatic,tn,49.0,11778.0,29700.0,29500.0
2006,Ford,Expedition,XLT,SUV,automatic,ca,35.0,89789.0,5650.0,9100.0
2012,Ford,Focus,SE,Sedan,automatic,tn,5.0,47041.0,9150.0,10100.0
2012,Infiniti,G Sedan,G25,G Sedan,automatic,fl,37.0,26318.0,17250.0,17200.0
2015,Hyundai,Sonata,SE,sedan,automatic,ca,1.0,14072.0,14950.0,6600.0
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,nj,34.0,24653.0,10350.0,10800.0
2013,Ford,Fusion Hybrid,Titanium,Sedan,automatic,az,41.0,15059.0,20500.0,20500.0
2005,Hyundai,Tucson,GLS,SUV,automatic,fl,28.0,211706.0,1600.0,1500.0
2012,Ford,Fiesta,SES,Hatchback,automatic,ca,19.0,40585.0,9350.0,8900.0
2010,Mitsubishi,Lancer Evolution,MR Touring,Sedan,manual,pa,39.0,61124.0,21500.0,22300.0
2014,Nissan,Altima,2.5 S,Sedan,automatic,nv,35.0,32783.0,14200.0,14400.0
2013,Kia,Rio,LX,Sedan,automatic,ca,37.0,40687.0,8750.0,9500.0
2010,Honda,Accord Crosstour,EX,Hatchback,automatic,fl,35.0,43675.0,13300.0,13900.0
2013,Ford,Edge,SEL,SUV,automatic,tn,42.0,10751.0,25500.0,24100.0
2011,Kia,Optima,EX,Sedan,automatic,az,26.0,78642.0,11300.0,12500.0
2011,Honda,Civic,LX-S,Sedan,automatic,pa,36.0,45724.0,9700.0,10400.0
2013,Toyota,Camry,LE,Sedan,automatic,nc,28.0,53672.0,11500.0,10300.0
2014,Toyota,Camry,LE,sedan,automatic,fl,49.0,3429.0,16400.0,18100.0
